Item ID,AegisName,Server English Name,Category,EquipLevelMin,Slots,Reason
1199,Ebony_Toe_Nail,Ebony Toe Nail,Weapons,120,0,Item ID absent from System/itemInfo_true.lub
1298,Shiver_Katar,Shiver Katar,Weapons,105,2,Item ID absent from System/itemInfo_true.lub
1318,Dofle_Axe,Deflation Axe,Weapons,105,2,Item ID absent from System/itemInfo_true.lub
1320,Diva_Axe,Diva Axe,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
1321,Dofle_Axe_,Deflation Axe,Weapons,105,3,Item ID absent from System/itemInfo_true.lub
1322,Ru_Blue_Axe,Ru Blue Axe,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
1323,Ru_Gold_Axe,Ru Gold Axe,Weapons,120,2,Item ID absent from System/itemInfo_true.lub
1325,Mirage_Axe,Mirage Axe,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
1328,Blut_Axe,Brute Cleaver,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
1331,Variant_Axe,Abyss Axe,Weapons,165,1,Item ID absent from System/itemInfo_true.lub
1334,Ein_1HAXE,Grinder Axe,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
1337,Golden_Wrench_J,Golden Wrench,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
1350,Comp_Avenger,[Not For Sale] Avenger,Weapons,100,2,Item ID absent from System/itemInfo_true.lub
1441,Ru_Blue_Spear,Ru Blue Spear,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
1442,Ru_Gold_Spear,Ru Gold Spear,Weapons,120,2,Item ID absent from System/itemInfo_true.lub
1446,Thanos_Spear_J,Requiem Spear,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
1494,Undine_Spear,Spear Of Odin,Weapons,105,3,Item ID absent from System/itemInfo_true.lub
1499,Thanos_Long_Spear_J,Requiem Lance,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
1590,Snake_Encyclopedia,Daizenshu Dakatsu,Weapons,105,2,Item ID absent from System/itemInfo_true.lub
1598,Snake_Encyclopedia_,Daizenshu Dakatsu,Weapons,105,3,Item ID absent from System/itemInfo_true.lub
1677,Ru_Blue_Wand,Ru Blue Wand,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
