Item ID,AegisName,Server English Name,Category,EquipLevelMin,Slots,Client Display Name,Client Resource Name,NPC Route,Price
1333,Golden_Wrench,Golden Wrench,Weapons,170,2,골든 렌치,Golden_Wrench,Equipment Archive > Weapons > Lv 160-199,1000000
1336,G_Knight_Axe,Guardian Knight Axe,Weapons,170,2,가디언 나이츠 액스,G_Knight_Axe,Equipment Archive > Weapons > Lv 160-199,1000000
1341,Destruction_Axe,Destruction Axe,Weapons,215,2,디스트럭션 액스,Sins_Axe,Equipment Archive > Weapons > Lv 200+,2000000
1438,Thanos_Spear,Thanos Spear,Weapons,120,1,타노스의 창,타노스의창,Equipment Archive > Weapons > Lv 100-129,200000
1490,Giant_Lance,Gigantic Lance,Weapons,140,0,기간트 랜스,기간트랜스,Equipment Archive > Weapons > Lv 130-159,500000
1496,Thanos_Long_Spear,Thanos Long Spear,Weapons,120,1,타노스의 양손창,타노스의양손창,Equipment Archive > Weapons > Lv 100-129,200000
1584,Chilly_Spell_Book,Cold Magic Book,Weapons,100,2,냉기의 마법서,냉기의마법서,Equipment Archive > Weapons > Lv 100-129,200000
1657,Wand_Of_Affection,Wand Of Affection,Weapons,100,2,자애의 지팡이,자애의지팡이,Equipment Archive > Weapons > Lv 100-129,200000
1669,Thanos_Staff,Thanos Staff,Weapons,120,1,타노스의 지팡이,타노스의지팡이,Equipment Archive > Weapons > Lv 100-129,200000
1671,Staff_Of_Evil_Slayer,Evil Slayer Vanquisher Staff,Weapons,100,1,마신을 이긴 지팡이,홀리스틱,Equipment Archive > Weapons > Lv 100-129,200000
1836,Thanos_Knuckle,Thanos Knuckle,Weapons,120,1,타노스의 너클,타노스의너클,Equipment Archive > Weapons > Lv 100-129,200000
1847,Iron_Nail_K,Iron Nail,Weapons,100,2,아이언 네일,아이언네일,Equipment Archive > Weapons > Lv 100-129,200000
1862,Burning_Knuckle_OS,Burning Knuckle-OS,Weapons,130,2,버닝 너클-OS,Burning_Knuckle_OS,Equipment Archive > Weapons > Lv 130-159,500000
1865,Combo_Fist,Raging Dragon Fist,Weapons,170,2,맹룡투갑,Combo_Fist,Equipment Archive > Weapons > Lv 160-199,1000000
1866,Asura_Bandage,Dedicated Bandage,Weapons,170,2,투신의 붕대,Asura_Bandage,Equipment Archive > Weapons > Lv 160-199,1000000
1867,Ein_1HKNUCK,Safety Knuckle,Weapons,170,2,세이프티 너클,Ein_1HKNUCK,Equipment Archive > Weapons > Lv 160-199,1000000
1870,R_Knuckle,Royal Knuckle,Weapons,170,2,로얄 너클,로얄너클,Equipment Archive > Weapons > Lv 160-199,1000000
1933,Thanos_Violin,Thanos Violin,Weapons,120,1,타노스의 바이올린,타노스의바이올린,Equipment Archive > Weapons > Lv 100-129,200000
1938,Viollin_Of_Infinite,Infinity Violin,Weapons,100,1,무한의 바이올린,서늘한바이올린,Equipment Archive > Weapons > Lv 100-129,200000
1988,Thanos_Whip,Thanos Whip,Weapons,120,1,타노스의 윕소드,타노스의윕소드,Equipment Archive > Weapons > Lv 100-129,200000
1994,Whip_Of_Infinite,Infinity Whip,Weapons,100,1,무한의 채찍,서늘한채찍,Equipment Archive > Weapons > Lv 100-129,200000
