Item ID,AegisName,English Name,Category,SubType,EquipLevelMin,Slots,NPC Route,Price
1199,Ebony_Toe_Nail,Ebony Toe Nail,Weapons,2hSword,120,0,Equipment Archive > Weapons > Lv 100-129,200000
1298,Shiver_Katar,Shiver Katar,Weapons,Katar,105,2,Equipment Archive > Weapons > Lv 100-129,200000
1318,Dofle_Axe,Deflation Axe,Weapons,1hAxe,105,2,Equipment Archive > Weapons > Lv 100-129,200000
1320,Diva_Axe,Diva Axe,Weapons,1hAxe,150,1,Equipment Archive > Weapons > Lv 130-159,500000
1321,Dofle_Axe_,Deflation Axe,Weapons,1hAxe,105,3,Equipment Archive > Weapons > Lv 100-129,200000
1322,Ru_Blue_Axe,Ru Blue Axe,Weapons,1hAxe,100,1,Equipment Archive > Weapons > Lv 100-129,200000
1323,Ru_Gold_Axe,Ru Gold Axe,Weapons,1hAxe,120,2,Equipment Archive > Weapons > Lv 100-129,200000
1325,Mirage_Axe,Mirage Axe,Weapons,1hAxe,150,1,Equipment Archive > Weapons > Lv 130-159,500000
1328,Blut_Axe,Brute Cleaver,Weapons,1hAxe,100,0,Equipment Archive > Weapons > Lv 100-129,200000
1331,Variant_Axe,Abyss Axe,Weapons,1hAxe,165,1,Equipment Archive > Weapons > Lv 160-199,1000000
1333,Golden_Wrench,Golden Wrench,Weapons,1hAxe,170,2,Equipment Archive > Weapons > Lv 160-199,1000000
1334,Ein_1HAXE,Grinder Axe,Weapons,1hAxe,100,1,Equipment Archive > Weapons > Lv 100-129,200000
1336,G_Knight_Axe,Guardian Knight Axe,Weapons,1hAxe,170,2,Equipment Archive > Weapons > Lv 160-199,1000000
1337,Golden_Wrench_J,Golden Wrench,Weapons,1hAxe,100,1,Equipment Archive > Weapons > Lv 100-129,200000
1341,Destruction_Axe,Destruction Axe,Weapons,1hAxe,215,2,Equipment Archive > Weapons > Lv 200+,2000000
1350,Comp_Avenger,[Not For Sale] Avenger,Weapons,2hAxe,100,2,Equipment Archive > Weapons > Lv 100-129,200000
1438,Thanos_Spear,Thanos Spear,Weapons,1hSpear,120,1,Equipment Archive > Weapons > Lv 100-129,200000
1441,Ru_Blue_Spear,Ru Blue Spear,Weapons,1hSpear,100,1,Equipment Archive > Weapons > Lv 100-129,200000
1442,Ru_Gold_Spear,Ru Gold Spear,Weapons,1hSpear,120,2,Equipment Archive > Weapons > Lv 100-129,200000
1446,Thanos_Spear_J,Requiem Spear,Weapons,1hSpear,100,0,Equipment Archive > Weapons > Lv 100-129,200000
1490,Giant_Lance,Gigantic Lance,Weapons,2hSpear,140,0,Equipment Archive > Weapons > Lv 130-159,500000
1494,Undine_Spear,Spear Of Odin,Weapons,2hSpear,105,3,Equipment Archive > Weapons > Lv 100-129,200000
