Tier,Job Family,Pool Code,Slot,Item ID,AegisName,English Name,Jobs Field,Classes Field
general,General Shadows,G01,Any slot,15280,S_CriticalHit_Armor,Critical Hit Shadow Armor,,
general,General Shadows,G01,Any slot,24000,T_Str1_Armor_S,Shadow Armor (Tier 1),,
general,General Shadows,G01,Any slot,24001,T_Dex1_Weapon_S,Shadow Gauntlets (Tier 1),,
general,General Shadows,G01,Any slot,24002,T_Luk1_Shield_S,Shadow Shield (Tier 1),,
general,General Shadows,G01,Any slot,24003,T_Agi1_Shoes_S,Shadow Shoes (Tier 1),,
general,General Shadows,G01,Any slot,24004,T_Vit1_Acc_R_S,Shadow Ring (Tier 1),,
general,General Shadows,G01,Any slot,24005,T_Int1_Acc_L_S,Shadow Pendant (Tier 1),,
general,General Shadows,G01,Any slot,24006,T_Str2_Armor_S,Shadow Armor (Tier 2),,
general,General Shadows,G01,Any slot,24007,T_Dex2_Weapon_S,Shadow Gauntlets (Tier 2),,
general,General Shadows,G01,Any slot,24008,T_Luk2_Shield_S,Shadow Shield (Tier 2),,
general,General Shadows,G01,Any slot,24009,T_Agi2_Shoes_S,Shadow Shoes (Tier 2),,
general,General Shadows,G01,Any slot,24010,T_Vit2_Acc_R_S,Shadow Ring (Tier 2),,
general,General Shadows,G01,Any slot,24011,T_Int2_Acc_L_S,Shadow Pendant (Tier 2),,
general,General Shadows,G01,Any slot,24012,S_Promotion_Weapon,Shadow Weapon,,
general,General Shadows,G01,Any slot,24013,S_Promotion_Armor,Shadow Armor,,
general,General Shadows,G01,Any slot,24014,S_Promotion_Shoes,Shadow Shoes,,
general,General Shadows,G01,Any slot,24015,S_Promotion_Shield,Shadow Shield,,
general,General Shadows,G01,Any slot,24016,S_Promotion_Earring,Shadow Earring,,
general,General Shadows,G01,Any slot,24017,S_Promotion_Pendant,Shadow Pendant,,
general,General Shadows,G01,Any slot,24018,S_Physical_Earring,Physical Earring (Shadow),,
general,General Shadows,G01,Any slot,24019,S_Physical_Weapon,Physical Weapon (Shadow),,
general,General Shadows,G01,Any slot,24020,S_Physical_Pendant,Physical Pendant (Shadow),,
general,General Shadows,G01,Any slot,24021,S_Magical_Earring,Magical Earring (Shadow),,
general,General Shadows,G01,Any slot,24022,S_Magical_Weapon,Magical Weapon (Shadow),,
general,General Shadows,G01,Any slot,24023,S_Magical_Pendant,Magical Pencil (Shadow),,
general,General Shadows,G01,Any slot,24024,S_Breezy_Armor,Breeze Armor (Shadow),,
general,General Shadows,G01,Any slot,24025,S_Champion_Shoes,Champion Shoes (Shadow),,
general,General Shadows,G01,Any slot,24026,S_Athena_Shield,Athena Shield (Shadow),,
general,General Shadows,G01,Any slot,24027,S_Immune_Armor,Immune Shadow Armor,,
general,General Shadows,G01,Any slot,24028,S_Hard_Armor,Hard Shadow Armor,,
general,General Shadows,G01,Any slot,24029,S_Ancient_Armor,Ancient Shadow Armor,,
general,General Shadows,G01,Any slot,24030,S_Critical_Armor,Critital Shadow Armor,,
general,General Shadows,G01,Any slot,24031,S_Kingbird_Weapon,Kingbird's Shadow Weapon,,
general,General Shadows,G01,Any slot,24032,S_Cri_Hit_Weapon,Critical Hit Shadow Weapon,,
general,General Shadows,G01,Any slot,24033,S_Healing_Weapon,Healing Shadow Weapon,,
general,General Shadows,G01,Any slot,24034,S_Lucky_Weapon,Lucky Shadow Weapon,,
general,General Shadows,G01,Any slot,24035,S_Power_Earring,Power Shadow Earring,,
general,General Shadows,G01,Any slot,24036,S_Int_Pendant,Intelligent Shadow Pendant,,
general,General Shadows,G01,Any slot,24037,S_Dexterous_Armor,Dexterous Shadow Armor,,
general,General Shadows,G01,Any slot,24038,S_Vital_Shoes,Vital Shadow Shoes,,
general,General Shadows,G01,Any slot,24039,S_Athletic_Shield,Athletic Shadow Shield,,
general,General Shadows,G01,Any slot,24040,S_Lucky_Armor,Lucky Shadow Armor,,
general,General Shadows,G01,Any slot,24041,S_Power_Pendant,Power Shadow Pendant,,
general,General Shadows,G01,Any slot,24042,S_Int_Earring,Intelligent Shadow Earring,,
