Change,Id,AegisName,Name,Category,Reason
Added,1100,Taurus_Sword_J,Taurus Sword,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1102,Sword_,Sword,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1103,Sword__,Sword,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1104,Falchion,Falchion,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1105,Falchion_,Falchion,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1106,Falchion__,Falchion,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1108,Blade_,Blade,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1109,Blade__,Blade,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1110,Lapier,Rapier,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1111,Lapier_,Rapier,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1112,Lapier__,Rapier,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1114,Scimiter_,Scimitar,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1116,Katana,Katana,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1117,Katana_,Katana,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1120,Tsurugi_,Tsurugi,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1121,Tsurugi__,Tsurugi,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1124,Orcish_Sword,Orcish Sword,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1125,Ring_Pommel_Saber_,Ring Pommel Saber,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1127,Saber_,Saber,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
Added,1128,Hae_Dong_Gum_,Haedonggum,Weapons,Previously omitted; valid in active Renewal DB and supplied client itemInfo.lua
