Id,AegisName,Warning
1678,Ru_Gold_Wand,Server Slots=2; client slotCount=1
2031,Tw_Staff_Of_Malang_J,Server Slots=1; client slotCount=0
2238,Weird_Moustache,Server View=22; client ClassNum=0
5054,Popcorn_Hair,Server View=180; client ClassNum=0
5394,Bubblegum_Lower,Server View=572; client ClassNum=0
5412,Sweet_Candy,Server View=414; client ClassNum=446
5602,Jaguar_Hat_J,Server Slots=1; client slotCount=0
5740,Sagittarius_Diadem,Server Slots=1; client slotCount=0
5841,Shaman_Hat_,Server Slots=1; client slotCount=0
5873,Helmet_Of_Siegfried,Server Slots=1; client slotCount=0
13134,ALTAIR_ARES_J,Server Slots=1; client slotCount=2
13135,H_FEATHER_H_FIRE_J,Server Slots=1; client slotCount=2
15114,Wedding_Dress_,Server Slots=0; client slotCount=1
15273,White_Shirt_J,Server Slots=1; client slotCount=0
15274,White_Eco_Shirt_J,Server Slots=1; client slotCount=0
16052,Iron_Driver_,Server Slots=0; client slotCount=3
18698,Cheesy_Snack_In_Mouth,Server View=843; client ClassNum=0
18824,Mask_Of_Bankrupt,Server Slots=1; client slotCount=0
18853,D_Strawberry_Hat_,Server Slots=0; client slotCount=1
18938,Astro_Circle,Server Slots=0; client slotCount=1
18940,10_Gallon_Hat_Of_Flame,Server Slots=0; client slotCount=1
19036,Brabery_Hat,Server Slots=1; client slotCount=0
19223,Cap_IL,Server View=14; client ClassNum=0
19433,ResonateTaego_TW,Server Slots=1; client slotCount=0
19433,ResonateTaego_TW,Client itemInfo marks costume=true while server uses a standard equipment location
22056,Fallen_Angel_Shoes,Server Slots=1; client slotCount=0
450176,Supplement_Part_Wing,Server Slots=0; client slotCount=1
