Id,AegisName,Name,Category,Reason
1150,Libra_Krasnaya_J,Libra's Krasnaya,Weapons,Missing from active client itemInfo.lua
1195,E_Executioner_C,Executioner,Weapons,Missing from active client itemInfo.lua
1199,Ebony_Toe_Nail,Ebony Toe Nail,Weapons,Missing from active client itemInfo.lua
1316,Adventure_Axe,Adventure Axe,Weapons,Missing from active client itemInfo.lua
1318,Dofle_Axe,Deflation Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µµÇÃ·¹ÀÇµµ³¢)"
1320,Diva_Axe,Diva Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ºû³ª´Â¾ç³¯µµ³¢)"
1321,Dofle_Axe_,Deflation Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µµÇÃ·¹ÀÇµµ³¢)"
1322,Ru_Blue_Axe,Ru Blue Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¼­´ÃÇÑµµ³¢)"
1323,Ru_Gold_Axe,Ru Gold Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ºû³ª´Âµµ³¢)"
1327,Axe_Z,Axe,Weapons,Missing from active client itemInfo.lua
1329,Woe_One_Hand_Axe1_Z,Lesser Guild Member's Cleaver,Weapons,Missing from active client itemInfo.lua
1330,Sunset_Buster,Sunset Buster,Weapons,Missing from active client itemInfo.lua
1331,Variant_Axe,Abyss Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µ¥¸ó¿¢½º)"
1332,Octopus_Axe,Octopus Axe,Weapons,Missing from active client itemInfo.lua
1334,Ein_1HAXE,Grinder Axe,Weapons,Missing from active client itemInfo.lua
1335,Cancer_Axe_J,Cancer Axe,Weapons,Missing from active client itemInfo.lua
1337,Golden_Wrench_J,Golden Wrench,Weapons,Missing from active client itemInfo.lua
1339,Hauyne_Huuma_EXE,Hauyne Huuma,Weapons,Missing from active client itemInfo.lua
1340,Arcanite_Hammer_EXE,Arcanite Hammer,Weapons,Missing from active client itemInfo.lua
1350,Comp_Avenger,[Not For Sale] Avenger,Weapons,Missing from active client itemInfo.lua
1439,Half_BF_Spear1,Half BF Spear1,Weapons,Missing from active client itemInfo.lua
1441,Ru_Blue_Spear,Ru Blue Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¼­´ÃÇÑÃ¢)"
1442,Ru_Gold_Spear,Ru Gold Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ºû³ª´ÂÃ¢)"
1444,Spear_of_Trust,Thunder Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=½Å·ÚÀÇÃ¢)"
1445,Spear_of_Trust2,[Rental] Hunting Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Overfishing_Spear)"
1448,UnrivaledSpear,Unrivaled Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹«½ÖÃ¢)"
1590,Snake_Encyclopedia,Daizenshu Dakatsu,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹ì¹é°ú»çÀü)"
1597,Half_BF_Book2,Half BF Book2,Weapons,Missing from active client itemInfo.lua
1598,Snake_Encyclopedia_,Daizenshu Dakatsu,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹ì¹é°ú»çÀü)"
1655,Adventure_Staff,Adventure Staff,Weapons,Missing from active client itemInfo.lua
1656,Academy_Wand,Academy Wand,Weapons,Missing from active client itemInfo.lua
1672,Safety_Rod,Safety Rod,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¼¼ÀÌÇÁÆ¼·Îµå)"
