ItemID,AegisName,Name,DisplayName,Category,SubType,Locations,EquipLevelMin,Price,NavigationPath,Shop,Page,PageCount,OrderOnPage
28719,Diffusion_Lacma,[Katsua]Lacma,[Kachua]Lacma,Weapons,Dagger,Right_Hand,99,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,1
13005,Counter_Dagger_IL_J,Angelic Wing Dagger,Angelic Wing Dagger,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,2
1232,Assasin_Dagger,Assassin Dagger,Assassin Dagger,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,3
13033,Assasin_Dagger_,Assassin Dagger,Assassin Dagger,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,4
13010,Asura,Asura,Asura,Weapons,Dagger,Right_Hand,12,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,5
13011,Asura_,Asura,Asura,Weapons,Dagger,Right_Hand,12,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,6
13023,Asura_C,Ashura,Asura,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,7
13055,F_Asura_C,Asura,Asura,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,8
1235,Azoth,Azoth,Azoth,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,9
1231,Bazerald,Bazerald,Bazerald,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,10
13072,Velum_Damascus,Vellum Damascus,Bellum Damascus,Weapons,Dagger,Right_Hand,95,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,11
13036,BF_Dagger1,Brave Assassin's Damascus,Brave Assassin's Damascus,Weapons,Dagger,Right_Hand,80,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,12
1245,Cinquedea,Cinquedea,Cinquedea,Weapons,Dagger,Right_Hand,30,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,13
1246,Cinquedea_,Cinquedea,Cinquedea,Weapons,Dagger,Right_Hand,30,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,14
1228,Combat_Knife,Combat Knife,Combat Knife,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,15
13021,Combat_Knife_C,Combat Knife,Combat Knife,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,16
13054,F_Combat_Knife_C,Combat Knife,Combat Knife,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,17
13003,Coward,Cowardice Blade,Cowardice Blade,Weapons,Dagger,Right_Hand,55,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,18
13004,Coward_,Cowardice Blade,Cowardice Blade,Weapons,Dagger,Right_Hand,55,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,19
28705,Scarlet_Dagger,Crimson Dagger,Crimson Dagger,Weapons,Dagger,Right_Hand,70,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,20
1241,Cursed_Dagger,Cursed Dagger,Cursed Dagger,Weapons,Dagger,Right_Hand,85,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,21
1204,Cutter,Cutter,Cutter,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,22
1205,Cutter_,Cutter,Cutter,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,23
1206,Cutter__,Cutter,Cutter,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,24
1213,Dagger,Dagger,Dagger,Weapons,Dagger,Right_Hand,12,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,25
1214,Dagger_,Dagger,Dagger,Weapons,Dagger,Right_Hand,12,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,26
1215,Dagger__,Dagger,Dagger,Weapons,Dagger,Right_Hand,12,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,27
1242,Counter_Dagger,Dagger of Counter,Dagger of Counter,Weapons,Dagger,Right_Hand,55,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,28
13022,Counter_Dagger_C,Dagger of Counter,Dagger of Counter,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,29
13056,F_Counter_Dagger_C,Counter Dagger,Dagger of Counter,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,30
13073,Counter_Dagger_,Counter Dagger,Dagger of Counter,Weapons,Dagger,Right_Hand,55,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,31
13038,Dagger_Of_Hunter,Dagger of Hunter,Dagger of Hunter,Weapons,Dagger,Right_Hand,70,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,32
13091,Owl_Cutter,Owl's Dagger,Dagger of Owl,Weapons,Dagger,Right_Hand,50,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,33
1222,Damascus,Damascus,Damascus,Weapons,Dagger,Right_Hand,24,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,34
1226,Damascus_,Damascus,Damascus,Weapons,Dagger,Right_Hand,24,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,35
13048,Damascus_C,Damascus,Damascus,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,36
13034,Twilight_Desert,Desert Twilight,Desert Twilight,Weapons,Dagger,Right_Hand,70,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,37
1210,Dirk,Dirk,Dirk,Weapons,Dagger,Right_Hand,12,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,38
1211,Dirk_,Dirk,Dirk,Weapons,Dagger,Right_Hand,12,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,39
1212,Dirk__,Dirk,Dirk,Weapons,Dagger,Right_Hand,12,100000,Weapons > Daggers > Lv 0-99,EA0001,1,4,40
13001,Dragon_Killer,Dragon Killer,Dragon Killer,Weapons,Dagger,Right_Hand,60,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,1
13030,Dragon_Killer_,Dragon Killer,Dragon Killer,Weapons,Dagger,Right_Hand,60,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,2
13050,P_Dagger1,Eden Dagger I,Eden Dagger I,Weapons,Dagger,Right_Hand,26,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,3
13051,P_Dagger2,Eden Dagger II,Eden Dagger II,Weapons,Dagger,Right_Hand,40,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,4
13066,P_Dagger3,Eden Dagger III,Eden Dagger III,Weapons,Dagger,Right_Hand,60,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,5
1233,Exercise,Exorciser,Exorciser,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,6
13089,FaceWorm_Leg,Faceworm Leg,Faceworm Leg,Weapons,Dagger,Right_Hand,24,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,7
1249,Fisherman's_Dagger,Fisherman's Dagger,Fisherman's Dagger,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,8
1223,Forturn_Sword,Fortune Sword,Fortune Sword,Weapons,Dagger,Right_Hand,24,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,9
13043,Fortune_Sword_I,Fortune Sword,Fortune Sword,Weapons,Dagger,Right_Hand,0,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,10
13002,Ginnungagap,Ginnungagap,Ginnungagap,Weapons,Dagger,Right_Hand,70,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,11
13019,Ginnungagap_,Ginnungagap,Ginnungagap,Weapons,Dagger,Right_Hand,70,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,12
1219,Gladius,Gladius,Gladius,Weapons,Dagger,Right_Hand,24,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,13
1220,Gladius_,Gladius,Gladius,Weapons,Dagger,Right_Hand,24,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,14
1221,Gladius__,Gladius,Gladius,Weapons,Dagger,Right_Hand,24,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,15
13042,Krieger_Dagger1,Glorious Gladius,Glorious Gladius,Weapons,Dagger,Right_Hand,80,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,16
13086,Goldsmithing_Dagger,Goldsmithing Dagger,Goldsmithing Dagger,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,17
1237,Grimtooth_,Grimtooth,Grimtooth,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,18
13014,Hakujin,Hakujin,Hakujin,Weapons,Dagger,Right_Hand,42,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,19
13015,Hakujin_,Hakujin,Hakujin,Weapons,Dagger,Right_Hand,42,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,20
1244,Holy_Dagger,Holy Dagger,Holy Dagger,Weapons,Dagger,Right_Hand,55,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,21
13017,House_Auger_,Ice Pick,Ice Pick,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,22
13044,House_Auger_I,Ice Pick,Ice Pick,Weapons,Dagger,Right_Hand,0,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,23
1230,House_Auger,Ice Pick,Ice pick,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,24
28725,Moonlight_Sword_IL,Illusion Moonlight Dagger,Illusion Moonlight Sword,Weapons,Dagger,Right_Hand,99,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,25
13039,Ivory_Knife,Ivory Knife,Ivory Knife,Weapons,Dagger,Right_Hand,50,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,26
13082,Ivory_Knife_,Ivory Knife,Ivory Knife,Weapons,Dagger,Right_Hand,50,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,27
13007,Jitte,Jitte,Jitte,Weapons,Dagger,Right_Hand,35,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,28
13008,Jitte_,Jitte,Jitte,Weapons,Dagger,Right_Hand,35,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,29
13000,Jujube_Dagger,Jujube Dagger,Jujube Dagger,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,30
13009,Kamaitachi,Kamaitachi,Kamaitachi,Weapons,Dagger,Right_Hand,70,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,31
13045,Kamaitachi_I,Kamaitachi,Kamaitachi,Weapons,Dagger,Right_Hand,0,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,32
13067,Caress,Keris,Keris,Weapons,Dagger,Right_Hand,30,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,33
13088,Krishnagar,Krishnagar,Keris Naga,Weapons,Dagger,Right_Hand,30,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,34
13006,Khukri,Khukri,Khukri,Weapons,Dagger,Right_Hand,65,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,35
1247,Kindling_Dagger,Kindle Dagger,Kindle Dagger,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,36
1229,Mama's_Knife,Kitchen Knife,Kitchen Knife,Weapons,Dagger,Right_Hand,36,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,37
1201,Knife,Knife,Knife,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,38
1202,Knife_,Knife,Knife,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,39
1203,Knife__,Knife,Knife,Weapons,Dagger,Right_Hand,1,100000,Weapons > Daggers > Lv 0-99,EA0002,2,4,40
13046,Krieg,Krierg,Krieg,Weapons,Dagger,Right_Hand,50,100000,Weapons > Daggers > Lv 0-99,EA0003,3,4,1
