Id,AegisName,Name,Category,Reason
1318,Dofle_Axe,Deflation Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µµÇÃ·¹ÀÇµµ³¢)"
1320,Diva_Axe,Diva Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ºû³ª´Â¾ç³¯µµ³¢)"
1321,Dofle_Axe_,Deflation Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µµÇÃ·¹ÀÇµµ³¢)"
1322,Ru_Blue_Axe,Ru Blue Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¼­´ÃÇÑµµ³¢)"
1323,Ru_Gold_Axe,Ru Gold Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ºû³ª´Âµµ³¢)"
1331,Variant_Axe,Abyss Axe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µ¥¸ó¿¢½º)"
1441,Ru_Blue_Spear,Ru Blue Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¼­´ÃÇÑÃ¢)"
1442,Ru_Gold_Spear,Ru Gold Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ºû³ª´ÂÃ¢)"
1444,Spear_of_Trust,Thunder Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=½Å·ÚÀÇÃ¢)"
1445,Spear_of_Trust2,[Rental] Hunting Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Overfishing_Spear)"
1448,UnrivaledSpear,Unrivaled Spear,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹«½ÖÃ¢)"
1590,Snake_Encyclopedia,Daizenshu Dakatsu,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹ì¹é°ú»çÀü)"
