Id,AegisName,Name,Category,Reason
1100,Taurus_Sword_J,Taurus Sword,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1194,F_Executioner_C,Executioner,Weapons,Regional/uncertain client entry excluded from merchant (Server=iRO)
1298,Shiver_Katar,Shiver Katar,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1300,Cleaver_,Cleaver,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1314,F_Tomahawk_C,Rental Tomahawk,Weapons,Regional/uncertain client entry excluded from merchant (Server=iRO)
1315,F_Right_Epsilon_C,Right Epsilon,Weapons,Regional/uncertain client entry excluded from merchant (Server=iRO)
1318,Dofle_Axe,Deflation Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1320,Diva_Axe,Diva Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1321,Dofle_Axe_,Deflation Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1322,Ru_Blue_Axe,Ru Blue Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=iRO)
1323,Ru_Gold_Axe,Ru Gold Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=iRO)
1324,War_Axe_S,War Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1325,Mirage_Axe,Mirage Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1328,Blut_Axe,Brute Cleaver,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1331,Variant_Axe,Abyss Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1389,E_Tomahawk_C,Tomahawk,Weapons,Regional/uncertain client entry excluded from merchant (Server=Unknown)
1390,E_Right_Epsilon_C,Light Epsilon,Weapons,Regional/uncertain client entry excluded from merchant (Server=Unknown)
1397,Bradium_Stonehammer_,Bradium Stone Hammer,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1431,F_Pole_Axe_C,Pole Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=iRO)
1432,E_Pole_Axe_C,Pole Axe,Weapons,Regional/uncertain client entry excluded from merchant (Server=Unknown)
1440,Battle_Hook_,Battle Hook,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1441,Ru_Blue_Spear,Ru Blue Spear,Weapons,Regional/uncertain client entry excluded from merchant (Server=iRO)
1442,Ru_Gold_Spear,Ru Gold Spear,Weapons,Regional/uncertain client entry excluded from merchant (Server=iRO)
1444,Spear_of_Trust,Thunder Spear,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1445,Spear_of_Trust2,[Rental] Hunting Spear,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1446,Thanos_Spear_J,Requiem Spear,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1448,UnrivaledSpear,Unrivaled Spear,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1449,Gelerdria_,Gelerdria,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1494,Undine_Spear,Spear Of Odin,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1497,Hell_Fire_S,Hellfire,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1499,Thanos_Long_Spear_J,Requiem Lance,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1581,F_Diary_Of_Great_Sage_C,Diary Of Great Sage,Weapons,Regional/uncertain client entry excluded from merchant (Server=iRO)
1582,E_Diary_Of_Great_Sage_C,Diary Of Great Sage,Weapons,Regional/uncertain client entry excluded from merchant (Server=Unknown)
1589,Legacy_Of_Dragon_,Legacy of Dragon,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1590,Snake_Encyclopedia,Daizenshu Dakatsu,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1592,Thor_Pedigree_Book,Thunder Pedigree Book,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1593,Book_Of_Destiny,Book of Destiny,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1594,Fire_Pedigree_Book,Flame Pedigree Book,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1595,Ice_Pedigree_Book,Ice Pedigree Book,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1596,Earth_Pedigree_Book,Earth Pedigree Book,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1598,Snake_Encyclopedia_,Daizenshu Dakatsu,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1662,Bone_Wand_,Evil Bone Wand,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1663,Staff_Of_Bordeaux_,Staff Of Bordeaux,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1665,Piercing_Staff_,Piercing Staff,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
1666,Healing_Staff_,Healing Staff,Weapons,Regional/uncertain client entry excluded from merchant (Server=jRO)
