Id,AegisName,Name,ClientName,ClientResource,ClientServerTag,CompatibilityTier,ResourceEvidenceIds,AppearanceEvidenceIds,Category,Type,SubType,Locations,EquipLevelMin,EquipLevelMax,Slots,ClientSlots,View,ClientClassNum,Refineable,Gradable,ShopPrice
2834,F_All_In_One_Ring,All In One Ring,All In One Ring,¸µ¿Àºê·¹Á¶³Í½º,iRO,regional_resource_reused,"2679,2741,2958",,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
28388,Bloody_Iron_Ball_,Bloodied Shackle Ball,Bloody Iron Ball,ÇÇ¹¯ÀºÃ¶±¸,jRO,regional_resource_reused,"2655,2710",,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
2943,Critical_Ring_,Critical Ring,Critical Ring,Å©¸®Æ¼ÄÃ¸µ,jRO,regional_resource_reused,"2616,2688,2945",,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
2909,Darkness_Ring,Darkness Ring,Ring of Darkness,¾îµÒÀÇ¹ÝÁö,jRO,regional_resource_reused,28562,,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
28581,MiddleSaurelCharm_J,High Grade Horse Mackerel Amulet,Luxury Tuna Amulet,Àü°»ÀÌ,jRO,regional_resource_reused,"13068,28413,28414,28415",,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
28584,MiddleLeafCharm_J,High Grade Leaf Amulet,Luxurious Leaf Amulet,±¸¾à,jRO,regional_resource_reused,"7792,28416,28417,28418",,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
28587,MiddleRabbitCharm_J,High Grade Rabbit Amulet,Luxurious Rabbit Amulet,ºÀÁ¦ÀÎÇü,jRO,regional_resource_reused,"740,6996,25143,28419,28420,28421",,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
28580,LowSaurelCharm_J,Horse Mackerel Amulet,Tuna Amulet,Àü°»ÀÌ,jRO,regional_resource_reused,"13068,28413,28414,28415",,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
28583,LowLeafCharm_J,Leaf Amulet,Leaf Amulet,±¸¾à,jRO,regional_resource_reused,"7792,28416,28417,28418",,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
2908,Light_Ring,Light Ring,Ring of Light,ºûÀÇ¹ÝÁö,jRO,regional_resource_reused,28563,,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
2895,Medal_Of_Valor1,Medal Of Valor1,Medal of Valor 1,½Å±âÇÑ¸Þ´Þ,idRO,regional_resource_reused,7515,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2896,Medal_Of_Valor2,Medal Of Valor2,Medal of Valor 2,½Å±âÇÑ¸Þ´Þ,idRO,regional_resource_reused,7515,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
28586,LowRabbitCharm_J,Rabbit Amulet,Rabbit Amulet,ºÀÁ¦ÀÎÇü,jRO,regional_resource_reused,"740,6996,25143,28419,28420,28421",,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
28432,Spiritual_Ring_,Spiritual Ring,Spiritual Ring,½ºÇÇ¸®Ãò¾ó¸µ,jRO,regional_resource_reused,"2677,2680,2711,2782,2786,2811,2812,2813",,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
28324,Steam_Starter_Ring,Steam Starter Ring,Steam Starter Ring,¼¼¸°ÀÇ±Ý¹ÝÁö,iRO,regional_resource_reused,"2642,2643",,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2905,Super_Ora_Ora,Super Ora Ora,Ultra-Strong Ora Ora,¿À¶ó¿À¶ó,jRO,regional_resource_reused,701,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2965,Angel_Egg,Angel Egg,Angel's Egg,Ãµ»çÀÇ¾Ë,bRO,regional_resource_reused,102562,,Accessories,Armor,,Both_Accessory,1,0,1,1,0,0,False,False,100000
2929,Charm_Str,Battle Hardened Amulet,Veteran Amulet,ÇÇ»çÇâÆ÷,jRO,regional_resource_reused,2638,,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2835,F_Critical_Ring_C,Critical Ring,Rental Critical Ring,Å©¸®Æ¼ÄÃ¸µ,iRO,regional_resource_reused,"2616,2688,2945",,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
28341,Sachet,Dragon Boat Festival Sachet,Dragon Boat Festival Sachet,±¸¸¶ÇâÆ÷,bRO,regional_resource_reused,2639,,Accessories,Armor,,Both_Accessory,1,0,1,1,0,0,False,False,100000
5651,F_Brooch_C,F Brooch C,Brooch,ºê·ÎÄ¡,iRO,regional_resource_reused,"2605,2625,2693,2704,2705",,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2836,F_Glove_C,Glove,Rental Glove,±Û·¯ºê,iRO,regional_resource_reused,"2604,2624,2692",,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2931,Charm_Vit,Good Health Amulet,Amulet of Good Health,ÇÇ»çÇâÆ÷,jRO,regional_resource_reused,2638,,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2974,Eternal_Protected_Love,Guardianship Eternal Love,Guardian Eternal Love,¿µ¿øÇÑ¼öÈ£ÀÇ»ç¶û,bRO,regional_resource_reused,490099,,Accessories,Armor,,Both_Accessory,1,0,1,1,0,0,False,False,100000
2932,Charm_Dex,Infallible Amulet,Infallible Amulet,ÇÇ»çÇâÆ÷,jRO,regional_resource_reused,2638,,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2933,Charm_Int,Knowledgeable Amulet,Amulet of Erudite Versatile,ÇÇ»çÇâÆ÷,jRO,regional_resource_reused,2638,,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
28306,Bless_Of_Moon,Luna's Blessing,Luna's Blessing,»ç¶ó±Í°ÉÀÌ,bRO,regional_resource_reused,"28310,28311",,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2838,F_Necklace_C,Necklace,Rental Necklace,³×Å¬¸®½º,iRO,regional_resource_reused,"2603,2623,2691,2798,2881,6581",,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2934,Charm_Luk,Prosperous Business Amulet,Amulet of Trading Prosperity,ÇÇ»çÇâÆ÷,jRO,regional_resource_reused,2638,,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2839,F_Ring_C,Ring,Rental Ring,¸µ,iRO,regional_resource_reused,"2601,2621,2690,14569,14570,14571",,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
28595,BlueDragonRing_TW,Ring of the Blue Dragon,Ring of Azure Dragon,·çÆÄÅ©ÀÇ¹ÝÁö,twRO,regional_resource_reused,2981,,Accessories,Armor,,Right_Accessory,1,0,1,1,0,0,False,False,100000
2937,RJC_Exp,RJC2012 EXP Necklace,RJC2012EXP Necklace,±Ý¸ñ°ÉÀÌ_,jRO,regional_resource_reused,2669,,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2939,RJC_Spell,RJC2012 Spell Necklace,RJC2012 Spell Necklace,±Ý¸ñ°ÉÀÌ_,jRO,regional_resource_reused,2669,,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2938,RJC_Status,RJC2012 Status Necklace,RJC2012 Status Necklace,±Ý¸ñ°ÉÀÌ_,jRO,regional_resource_reused,2669,,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2840,F_Rosary_C,Rosary,Rental Rosary,·ÎÀÚ¸®,iRO,regional_resource_reused,"2608,2626,2694,6502,6913,490253",,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
2837,F_Safety_Ring_C,Safety Ring,Rental Safety Ring,¼¼ÀÌÇÁÆ¼¸µ,iRO,regional_resource_reused,"2615,2673,2695,2815,2944,2950,2956,5817",,Accessories,Armor,,Both_Accessory,1,0,0,0,0,0,False,False,100000
28431,Sprint_Ring_,Sprint Ring,Sprint Ring,½ºÇÁ¸°Æ®¹ÝÁö,jRO,regional_resource_reused,2744,,Accessories,Armor,,Both_Accessory,1,0,1,1,0,0,False,False,100000
28302,Vesper_Core01_,Vesper Core 01,Vesper Core 01,º£½ºÆÛÄÚ¾î,jRO,regional_resource_reused,"2659,2660,2661,2662,2696,2697,2698,2699",,Accessories,Armor,,Both_Accessory,1,0,1,1,0,0,False,False,100000
28303,Vesper_Core02_,Vesper Core 02,Vesper Core 02,º£½ºÆÛÄÚ¾î,jRO,regional_resource_reused,"2659,2660,2661,2662,2696,2697,2698,2699",,Accessories,Armor,,Both_Accessory,1,0,1,1,0,0,False,False,100000
28304,Vesper_Core03_,Vesper Core 03,Vesper Core 03,º£½ºÆÛÄÚ¾î,jRO,regional_resource_reused,"2659,2660,2661,2662,2696,2697,2698,2699",,Accessories,Armor,,Both_Accessory,1,0,1,1,0,0,False,False,100000
