Item ID,AegisName,English Name,Category,Required Level,Slots,Buy,Sell,Locations
26167,Aquarius_Staff_J,Aquarius Staff,Weapons,0,1,20,,Right_Hand
32031,Aries_Spear_J,Aries Spear,Weapons,0,1,20,,Right_Hand
700004,Capricon_Bow_Of_Rogue_J,Capricorn Thief Bow,Weapons,0,1,20,,Both_Hand
13426,F_Cutlas_C,Cutlus,Weapons,0,0,2,,Right_Hand
13429,E_Cutlas_C,Cutlus,Weapons,0,0,2,,Right_Hand
1566,Diary_Of_Great_Basil,Diary Of Great Basil,Weapons,0,0,20,,Right_Hand
13406,Edger,Edger,Weapons,0,0,20,,Right_Hand
1194,F_Executioner_C,Executioner,Weapons,0,0,2,,Both_Hand
1195,E_Executioner_C,Executioner,Weapons,0,0,2,,Both_Hand
580004,Gemini_Rope_J,Gemini Rope,Weapons,0,1,20,,Right_Hand
570004,Gemini_Violin_J,Gemini Violin,Weapons,0,1,20,,Right_Hand
1536,Good_Morning_Star,Good Morning Star,Weapons,0,0,20,,Right_Hand
1921,Guh_Moon_Gom,Gun Moon Gom,Weapons,0,0,20,,Right_Hand
590046,Evt_20th_Hall,Hall of Fame,Weapons,0,0,,,Right_Hand
16098,Leo_Mace_J,Leo Mace,Weapons,0,1,20,,Right_Hand
13053,F_Moonlight_Sword_C,Moonlight Sword,Weapons,0,0,2,,Right_Hand
13057,E_Moonlight_Sword_C,Moonlight Sword,Weapons,0,0,2,,Right_Hand
1177,Muramash,Muramash,Weapons,0,0,20,,Both_Hand
13444,Pala,Pala,Weapons,0,1,20,,Right_Hand
640006,Pisces_Staff_O_S_J,Pisces Staff of Soul,Weapons,0,1,20,,Both_Hand
1423,Pole_XO,Pole XO,Weapons,0,0,20,,Right_Hand
28643,Pollux_Book_J,Pollux Book,Weapons,0,1,20,,Right_Hand
13029,Prinsence_Knife,Prinsense Knife,Weapons,0,0,20,,Right_Hand
28784,Procyon_Dagger_J,Procyon Dagger,Weapons,0,1,20,,Right_Hand
1975,Queen_Is_Whip,Queen Is Whip,Weapons,0,0,20,,Right_Hand
510021,Avd_Knife,Reinforced Knife,Weapons,0,1,,,Right_Hand
18101,F_Bow_Of_Rudra_C,Rudra Bow,Weapons,0,0,2,,Both_Hand
18102,E_Bow_Of_Rudra_C,Rudra Bow,Weapons,0,0,2,,Both_Hand
700010,Sagittarius_Hunter_Bow,Sagittarius Hunter Bow,Weapons,0,1,20,,Both_Hand
28047,Scorpio_Katar_J,Scorpio Katar,Weapons,0,1,20,,Both_Hand
1272,Scratcher,Scratcher,Weapons,0,0,20,,Both_Hand
13427,F_Solar_Sword_C,Solar Sword,Weapons,0,0,2,,Right_Hand
13430,E_Solar_Sword_C,Solar Sword,Weapons,0,0,2,,Right_Hand
16008,F_Spanner_C,Spanner,Weapons,0,0,2,,Right_Hand
16009,E_Spanner_C,Spanner,Weapons,0,0,2,,Right_Hand
1627,Staffy,Staffy,Weapons,0,0,20,,Right_Hand
500053,Evt_20th_Sword,Sword of Honor,Weapons,0,0,,,Right_Hand
1100,Taurus_Sword_J,Taurus Sword,Weapons,0,1,20,,Right_Hand
