Tier,Job Family,Slot,Item ID,AegisName,Display Name,Database Type,Direct Price,Validation
General,General shadows,Shadow Weapon,24001,T_Dex1_Weapon_S,Shadow Gauntlets (Tier 1),Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24007,T_Dex2_Weapon_S,Shadow Gauntlets (Tier 2),Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24012,S_Promotion_Weapon,Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24019,S_Physical_Weapon,Physical Weapon (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24022,S_Magical_Weapon,Magical Weapon (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24031,S_Kingbird_Weapon,Kingbird's Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24032,S_Cri_Hit_Weapon,Critical Hit Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24033,S_Healing_Weapon,Healing Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24034,S_Lucky_Weapon,Lucky Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24043,S_Dexterous_Weapon,Dexterous Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24075,S_Big_Weapon,Large Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24076,S_Medium_Weapon,Medium Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24077,S_Small_Weapon,Small Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24078,S_Spiritual_Weapon,Spiritual Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24087,S_Gemstone_Weapon,Gemstone Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24099,Unfreez_Weapon_S,Unfreezing Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24104,S_Neutral_Weapon,Neutral Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24110,S_Caster_Weapon,Caster Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24117,S_Greed_Weapon,Grid Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24123,S_Heal_Weapon,Heal Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24129,S_Hiding_Weapon,Hiding Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24135,S_Cloaking_Weapon,Cloaking Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24141,S_Teleport_Weapon,Teleport Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24147,S_Steal_Weapon,Steal Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24152,S_Solid_Weapon,Solid Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24156,S_Executioner_Weapon,Demi-Human Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24157,S_Exorcist_Weapon,Exorcist Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24158,S_Hunting_Weapon,Hunting Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24159,S_Insect_Net_Weapon,Insect Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24160,S_Fishing_Weapon,Fishing Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24161,S_Dragon_Killer_Weapon,Dragon Killer Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24162,S_Corrupt_Weapon,Angelus Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24163,S_Vibration_Weapon,Formless Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24164,S_Holy_Water_Weapon,Holy Water Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24165,S_Scissors_Weapon,Plant Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24170,S_M_Executioner_Weapon,Magic Demi-Human Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24171,S_M_Exorcist_Weapon,Magic Exorcist Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24172,S_M_Hunting_Weapon,Magic Hunting Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24173,S_M_Insect_Net_Weapon,Magic Insect Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24174,S_M_Fishing_Weapon,Magic Fishing Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24175,S_M_Dragon_K_Weapon,Magic Dragon Killer Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24176,S_M_Corrupt_Weapon,Magic Angelus Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24177,S_M_Vibration_Weapon,Magic Formless Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24178,S_M_Holy_Water_Weapon,Magic Holy Water Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24179,S_M_Scissors_Weapon,Magic Caesars Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24183,S_Bearers_Weapon,Bearer's Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24223,S_Enhance_Force_Weapon,Enhanced Force Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24224,S_Force_Weapon,Force Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24227,S_Enhance_Spirit_Weapon,Enhanced Soul Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24228,S_Spirit_Weapon,Soul Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24233,S_Exceed_Weapon,Exceeding Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24324,S2_Spiritual_Weapon,Spiritual Shadow Weapon II,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24328,S2_Force_Ex_Weapon,Force Executioner Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24329,S2_Spirit_M_E_Weapon,Spirit Magic Executioner Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24335,S2_Gemstone_Weapon,Gemstone Shadow Weapon II,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24343,S_Blitz_Weapon,Blitz Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24356,Unfreez_Weapon_S2,Unfreezing Shadow Weapon II,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24358,S2_Neutral_Weapon,Neutral Shadow Weapon II,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24360,S_Tension_Weapon,Tension Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24363,S_Elegant_Weapon,Elegant Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24370,S_MortalBlow_Weapon,Mortal Blow Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24380,Sentimental_Weapone_S,Sentimental Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24383,Enchanting_Weapone_S,Enchanting Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24386,S_Infinity_Weapon,Infinity Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24423,S_Tempest_Weapon,Tempest Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24425,S_PerfectSize_Weapon,Perfect Size Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24427,S_M_Exo_Co_Weapon,Magic Exorcist Current Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24428,S_M_Viv_Dr_Weapon,Magic Vibration Dragon Killer Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24429,S_M_Sci_Hu_Weapon,Magic Caesars Hunting Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24430,S_M_Fis_In_Weapon,Magic Fishing Insect Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24431,S_M_Exe_Ho_Weapon,Magic Executioner Holy Water Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24432,S_Penetration_Weapon,Penetration Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24434,S_Exe_Ho_Weapon,Executioner Holy Water Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24435,S_Fis_In_Weapon,Fishing Insect Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24436,S_Sci_Hu_Weapon,Scissors Hunting Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24437,S_Viv_Dr_Weapon,Vibration Dragon Killer Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24438,S_Exo_Co_Weapon,Exorcist Corrupt Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24439,S_Hasty_Weapon,Hasty Shadow Weapon,Shadowgear,300000,PASS
General,General shadows,Shadow Weapon,24673,S_Mammoth_Weapon,Mammoth Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24686,S_Absorb_Weapon,Absorb Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24725,S_AutoSpell_Weapon,Auto Spell Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24734,S_Durable_Weapon,Durable Weapon Shadow,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24736,S_Clever_Weapon,Clever Weapon Shadow,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24738,S_CriticalHit_Weapon,Critical Hit Weapon Shadow,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24745,S_KingbirdAnc_Weapon,Kingbird Ancient Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24751,S_P_Power_Weapon,Physical Power Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24753,S_M_Spell_Weapon,Magical Spell Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24755,S_Concentration_Weapon,Concentration Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24757,S_Wisdom_Weapon,Wisdom Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24759,S_Stamina_Weapon,Stamina Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24761,S_Creative_Weapon,Creative Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24768,S_Mega_Blitz_Weapon,Mega Blitz Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24770,S_EXP_Weapon,Experience Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24779,1LvWeaponS,1Lv Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Weapon,24792,S_Master_Weapon,Master Shadow Weapon,ShadowGear,300000,PASS
General,General shadows,Shadow Shield,24002,T_Luk1_Shield_S,Shadow Shield (Tier 1),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24008,T_Luk2_Shield_S,Shadow Shield (Tier 2),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24015,S_Promotion_Shield,Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24026,S_Athena_Shield,Athena Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24039,S_Athletic_Shield,Athletic Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24044,S_Vital_Shield,Vital Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24052,S_Cranial_Shield,Cranial Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24053,S_Safeguard_Shield,Safeguard Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24054,S_Brutal_Shield,Brutal Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24055,S_Gargantua_Shield,Gargantua Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24056,S_Homers_Shield,Homers Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24057,S_Dragoon_Shield,Dragoon Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24058,S_Satanic_Shield,Satanic Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24059,S_Flameguard_Shield,Flameguard Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24060,S_Requiem_Shield,Requiem Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24061,S_Cadi_Shield,Cadi Shield (Shadow),Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24083,S_Malicious_Shield,Malicious Shas Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24086,S_Gemstone_Shield,Gemstone Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24090,S_Stability_Shield,Stability Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24113,S_Spell_Flow_Shield,Spellflow Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24116,S_Greed_Shield,Grid Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24122,S_Heal_Shield,Heal Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24128,S_Hiding_Shield,Hiding Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24134,S_Cloaking_Shield,Cloaking Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24140,S_Teleport_Shield,Teleport Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24146,S_Steal_Shield,Steal Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24182,S_Bearers_Shield,Bearer's Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24198,S_Basis_Shield,Basis Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24199,S_Hallowed_Shield,Hallowed Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24200,S_Saharic_Shield,Saharic Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24201,S_Underneath_Shield,Underneath Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24202,S_Flam_Shield,Flame Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24203,S_Windy_Shield,Windy Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24204,S_Envenom_Shield,Envenom Shadow Shield,Shadowgear,300000,PASS
General,General shadows,Shadow Shield,24205,S_Damned_Shield,Damned Shadow Shield,Shadowgear,300000,PASS
