Room Index,Monster ID,AegisName,Name,Level,Arena Group,MVP Mode,Generic Arena Playable,Mob Skill DB,Validation Source,Validation Type,Canonical Selection
1,2075,E_VADON_X,Ragunta,1,Lv 1-99,true,true,not required; basic attack/database behavior available,db/re/mob_db.yml,spawn-local mode normalization,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
2,3505,DR_BIG_EGGRING,Big Eggring,25,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
3,3810,MD_KING_PORING,King Poring,35,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
4,1087,ORK_HERO,Orc Hero,50,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
5,2094,E_ORK_HERO2,Orc Hero,50,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
6,1147,MAYA,Maya,55,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
7,1190,ORC_LORD,Orc Lord,55,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
8,1115,EDDGA,Eddga,65,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
9,2095,E_EDDGA,Eddga,65,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
10,1086,GOLDEN_BUG,Golden Thief Bug,65,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
11,2306,E_GOLDEN_BUG,Golden Thief Bug,65,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
12,1399,EVENT_BAPHO,Baphomet,68,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
13,1038,OSIRIS,Osiris,68,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
14,2096,E_OSIRIS2,Osiris,68,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
15,1511,AMON_RA,Amon Ra,69,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
16,1159,PHREEONI,Phreeoni,71,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
17,1389,DRACULA,Dracula,75,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
18,2097,E_DRACULA,Dracula,75,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
19,1046,DOPPELGANGER,Doppelganger,77,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
20,2098,E_DOPPELGANGER,Doppelganger,77,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
21,1059,MISTRESS,Mistress,78,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
22,2099,E_MISTRESS,Mistress,78,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
23,1150,MOONLIGHT,Moonlight Flower,79,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
24,1688,LADY_TANEE,Lady Tanee,80,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
25,1039,BAPHOMET,Baphomet,81,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
26,2100,E_BAPHOMET2,Baphomet,81,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
27,1980,KUBLIN,Kublin,85,Lv 1-99,true,true,not required; basic attack/database behavior available,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
28,1157,PHARAOH,Pharaoh,85,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
29,1957,ENTWEIHEN,Entweihen Crothen,90,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
30,1112,DRAKE,Drake,91,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
31,1251,KNIGHT_OF_WINDSTORM,Stormy Knight,92,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
32,2212,E_KNIGHT_OF_WINDSTORM,Stormy Knight,92,Lv 1-99,true,true,not required; basic attack/database behavior available,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
