Roster Index,Monster ID,AegisName,Name,Level,HP,Arena Group,Modes.Mvp,IgnoreMelee,IgnoreMagic,IgnoreRanged,IgnoreMisc,Visible Name Occurrences in MVP DB,Before MVP Room,Before MVP Arena,After MVP Room,After MVP Arena,Arena/Room Fightability Adjustment,Notes
1,2075,E_VADON_X,Ragunta,1,300,Lv 1-99,true,true,true,true,true,1,missing,missing,included,included,clear four incoming damage-ignore bits on spawned unit only,Database MVP was fully damage-immune; custom room/arena spawn is normalized without changing mob_db or official instances.
2,3505,DR_BIG_EGGRING,Big Eggring,25,142480,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
3,3810,MD_KING_PORING,King Poring,35,140000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
4,1087,ORK_HERO,Orc Hero,50,362000,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
5,2094,E_ORK_HERO2,Orc Hero,50,362000,Lv 1-99,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
6,1147,MAYA,Maya,55,380000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
7,1190,ORC_LORD,Orc Lord,55,552000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
8,1115,EDDGA,Eddga,65,947500,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
9,2095,E_EDDGA,Eddga,65,947500,Lv 1-99,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
10,1086,GOLDEN_BUG,Golden Thief Bug,65,222750,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
11,2306,E_GOLDEN_BUG,Golden Thief Bug,65,100000000,Lv 1-99,true,false,true,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
