Monster ID,AegisName,Name,Level,Was Missing From MVP Room,Was Missing From MVP Arena,Now Included,Spawn Adjustment
1399,EVENT_BAPHO,Baphomet,68,yes,yes,yes,none
1502,PORING_V,Bring it on!,99,yes,yes,yes,none
1518,BACSOJIN,White Lady,97,yes,yes,yes,none
1813,EVENT_HYDRO,Hydrolancer,99,yes,yes,yes,none
1817,EVENT_DETALE,Detardeurus,99,yes,yes,yes,none
1876,E_LORD_OF_DEATH,Lord of the Dead,99,yes,yes,yes,none
2052,E_DARKLORD,Dark Lord,96,yes,yes,yes,none
2075,E_VADON_X,Ragunta,1,yes,yes,yes,clear four incoming damage-ignore bits on spawned unit only
2094,E_ORK_HERO2,Orc Hero,50,yes,yes,yes,none
2095,E_EDDGA,Eddga,65,yes,yes,yes,none
2096,E_OSIRIS2,Osiris,68,yes,yes,yes,none
2097,E_DRACULA,Dracula,75,yes,yes,yes,none
2098,E_DOPPELGANGER,Doppelganger,77,yes,yes,yes,none
2099,E_MISTRESS,Mistress,78,yes,yes,yes,none
2100,E_BAPHOMET2,Baphomet,81,yes,yes,yes,none
2101,E_LORD_OF_DEATH2,Lord of the Dead,94,yes,yes,yes,none
2102,E_DARK_LORD,Dark Lord,96,yes,yes,yes,none
2103,E_KTULLANUX,Ktullanux,98,yes,yes,yes,none
2104,E_DARK_SNAKE_LORD,Evil Snake Lord,105,yes,yes,yes,none
2105,E_TURTLE_GENERAL,Turtle General,110,yes,yes,yes,none
2106,E_APOCALIPS_H,Vesper,128,yes,yes,yes,none
2107,E_FALLINGBISHOP,Fallen Bishop Hibram,138,yes,yes,yes,none
2108,E_GLOOMUNDERNIGHT,Gloom Under Night,139,yes,yes,yes,none
2109,E_RANDGRIS,Valkyrie Randgris,141,yes,yes,yes,none
2110,E_IFRIT,Ifrit,146,yes,yes,yes,none
2111,E_B_HARWORD,Whitesmith Howard,160,yes,yes,yes,none
2112,E_B_SEYREN,Lord Knight Seyren,160,yes,yes,yes,none
2113,E_B_EREMES,Assassin Cross Eremes,160,yes,yes,yes,none
2212,E_KNIGHT_OF_WINDSTORM,Stormy Knight,92,yes,yes,yes,none
2306,E_GOLDEN_BUG,Golden Thief Bug,65,yes,yes,yes,none
2341,RWC_BOSS2011,2011 RWC Boss,141,yes,yes,yes,none
2352,E_RSX_0805,RSX 0805,100,yes,yes,yes,none
2564,GEFFEN_FENRIR,Fenrir,160,yes,yes,yes,none
3190,MM_SARAH,Sarah Irene,160,yes,yes,yes,clear four incoming damage-ignore bits on spawned unit only
3658,MD_LICH_LORD_100,Lich Lord,100,yes,yes,yes,none
20668,MD_GRAN_PAPILIA,Gran Papilia,195,yes,yes,yes,none
21314,EP18_MD_SCHULANG,Schulang,185,yes,yes,yes,none
21316,EP18_MD_SCHULANG_R,Schulang,185,yes,yes,yes,none
21317,EP18_MD_DEMI_FREYJA_R,Twisted God Freyja,185,yes,yes,yes,none
