Monster ID,AegisName,Name,Level,Exclusion Reason,First Enabled Reference
1877,CRYSTAL_5,Crystal,1,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1951,CRYSTAL_6,Crystal,1,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/events/god_se_festival.txt:176
1952,CRYSTAL_7,Crystal,1,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/events/god_se_festival.txt:177
1953,CRYSTAL_8,Crystal,1,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/events/god_se_festival.txt:178
1954,CRYSTAL_9,Crystal,1,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/events/god_se_festival.txt:179
2080,CRYSTAL_L,Crystal,1,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1396,CRYSTAL_2,Earth Crystal,1,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1397,CRYSTAL_3,Fire Crystal,1,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
20351,MD_MANHOLE2,Manhole,1,Immune to all normal damage categories in mob_db; not generically fightable,npc/re/instances/OsOccupation.txt:654
1815,EVENT_RICECAKE,Rice Cake,1,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1955,TREASURE_BOX_I,Treasure Chest,1,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1398,CRYSTAL_4,Water Crystal,1,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1395,CRYSTAL_1,Wind Crystal,1,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1879,ECLIPSE_P,Eclipse,6,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1247,ANTONIO,Antonio,10,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/custom/etc/monster_arena.txt:95
1806,G_EREMES_,Assassin Cross Eremes,10,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1962,ANTONIO_,Christmas Thief,10,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2408,DUMMY_10,Dummy 10,10,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/jobs/novice/academy.txt:3837
2413,DUMMY_10_FIRE,Dummy 10,10,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/jobs/novice/academy.txt:3835
1808,G_MAGALETA_,High Priest Margaretha,10,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1810,G_KATRINN_,High Wizard Kathryne,10,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
3203,INORGANIC_JAKK,Inorganic Pumpkin,10,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1805,G_SEYREN_,Lord Knight Seyren,10,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1807,G_HARWORD_,Mastersmith Howard,10,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
3202,ORGANIC_JAKK,Organic Pumpkin,10,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1809,G_SHECIL_,Sniper Cecil,10,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1816,EVENT_GOURD,Gourd,12,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2150,WATERMELON,Ripe Watermelon,12,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1690,G_SPRING_RABBIT,Spring Rabbit,12,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1841,G_SNAKE_,Snake Lord's Minion,15,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1828,EVENT_GULLINBURSTI,Gullinbursti,20,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1842,G_ANACONDAQ_,Snake Lord's Minion,23,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1904,BOMBPORING,Bomb Poring,28,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1591,A_LUNATIC,Lunatic,29,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1610,A_MUNAK,Munak,30,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1136,KOBOLD_4,Kobold,31,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1137,KOBOLD_5,Kobold,31,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1843,G_SIDE_WINDER_,Snake Lord's Minion,43,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1844,G_ISIS_,Snake Lord's Minion,47,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1848,EVENT_BAPHOMET,Baphomet,50,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2409,DUMMY_50,Dummy 50,50,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2001,F_GAMEMASTER,Female Game Master,50,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2000,M_GAMEMASTER,Male Game Master,50,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1850,EVENT_ORCHERO,Orc Hero,50,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1593,A_ANCIENT_MUMMY,Ancient Mummy,52,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1612,A_HYEGUN,Yao Jun,56,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1611,A_BON_GUN,Bongun,59,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1849,EVENT_OSIRIS,Osiris,60,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1449,G_MUTANT_DRAGON,Mutant Dragonoid,65,Exact-stat slave/quest clone of enabled ID 1262 (MUTANT_DRAGON),npc/other/powernpc.txt:199
2933,T_DEVILING,Deviling,66,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1456,G_CHIMERA,Chimera,70,Exact-stat slave/quest clone of enabled ID 1283 (CHIMERA),npc/other/powernpc.txt:199
1966,M_DOPPELGANGER,Doppelganger,72,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1568,G_ANGELING,Angeling,77,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2079,CRYSTAL_H,Crystal,77,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1731,G_DOPPELGANGER,Doppelganger,77,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1967,M_YGNIZEM,Egnigem Cenia,79,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1900,BOW_GUARDIAN_,Archer Guardian,80,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1932,GARDEN_KEEPER,Garden Keeper,80,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/quests/okolnir.txt:2361
1814,EVENT_MOON,Moonlight Flower,80,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1897,EVENT_BAPHOMET_,Baphomet,81,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2008,WOOMAWANG,Woomawang,82,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2009,WOOMAWANG_,Woomawang,82,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1609,G_DANCING_DRAGON,Zhu Po Long,82,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2215,M_KASA,Kasa,83,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2934,T_ARCHANGELING,Arc Angeling,84,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
3514,POPE_MD_E_BISHOP,Enraged High Priest,87,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2216,M_SALAMANDER,Salamander,87,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1846,DREAMMETAL,Dream Metal,90,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1288,EMPELIUM,Emperium,90,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/guild2/agit_main_se.txt:108
3516,POPE_MD_E_LUWMIN,Enraged Luwmin,90,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1576,G_GHOSTRING,Ghostring,90,Exact-stat slave/quest clone of enabled ID 1120 (GHOSTRING),npc/other/arena/arena_party.txt:781
1907,S_EMPEL_1,Guardian Stone,90,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1908,S_EMPEL_2,Guardian Stone,90,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1947,PIAMETTE_,Piamette,90,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2599,G_WILD_RIDER,Wild Rider,95,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1605,G_DARK_ILLUSION,Dark Illusion,96,Exact-stat slave/quest clone of enabled ID 1302 (DARK_ILLUSION),npc/quests/the_sign_quest.txt:12355
1689,G_BACSOJIN,White Lady,97,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1934,BLUE_FLOWER,Blue Flower,98,Immune to all normal damage categories in mob_db; not generically fightable,npc/quests/okolnir.txt:830
1847,EVENT_PORING,Poring,98,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1935,RED_FLOWER,Red Flower,98,Immune to all normal damage categories in mob_db; not generically fightable,npc/quests/okolnir.txt:867
1936,YELL_FLOWER,Yellow Flower,98,Immune to all normal damage categories in mob_db; not generically fightable,npc/quests/okolnir.txt:905
1852,G_EM_ANGELING,Angeling,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1800,B_EREMES_,Assassin Cross Eremes,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2318,BANGUNGOT_2,Bangungot,99,Immune to all normal damage categories in mob_db; not generically fightable,npc/re/instances/BangungotHospital.txt:967
1853,G_EM_DEVILING,Deviling,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1840,GOLDEN_SAVAGE,Golden Savage,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1802,B_MAGALETA_,High Priest Margaretha,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1804,B_KATRINN_,High Wizard Kathryne,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1799,B_SEYREN_,Lord Knight Seyren,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1801,B_HARWORD_,Mastersmith Howard,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1803,B_SHECIL_,Sniper Cecil,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1902,E_TREASURE1,Treasure Box,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1903,E_TREASURE2,Treasure Box,99,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2323,EVENT_BOMB,Bomb Poring,100,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2186,COELACANTH_N_E,Coelacanth,100,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22636,S_DUMMY2_ANGEL,Dummy (Angel Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:154
22646,S_DUMMY3_ANGEL,Dummy (Angel Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:235
22630,S_DUMMY2_ANIMAL,Dummy (Brute Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:157
22640,S_DUMMY3_ANIMAL,Dummy (Brute Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:238
21084,S_DUMMY_100_DARKNESS,Dummy (Dark Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:50
22655,S_DUMMY2_DARKNESS,Dummy (Dark),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:133
22665,S_DUMMY3_DARKNESS,Dummy (Dark),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:214
22634,S_DUMMY2_DEMON,Dummy (Demon Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:158
