Category,Monster ID,AegisName,Name,Level,HP,Validation Source,Validation Type
MVP,3505,DR_BIG_EGGRING,Big Eggring,25,142480,npc/re/custom/lasagna/lasa_dun.txt:13,direct-spawn
MVP,3810,MD_KING_PORING,King Poring,35,140000,npc/re/instances/PoringVillage.txt:633,direct-spawn
MVP,1087,ORK_HERO,Orc Hero,50,362000,npc/instances/EndlessTower.txt:834,direct-spawn
MVP,1147,MAYA,Maya,55,380000,npc/instances/EndlessTower.txt:490,direct-spawn
MVP,1190,ORC_LORD,Orc Lord,55,552000,npc/instances/EndlessTower.txt:835,direct-spawn
MVP,1115,EDDGA,Eddga,65,947500,npc/guild/agit_main.txt:233,direct-spawn
MVP,1086,GOLDEN_BUG,Golden Thief Bug,65,222750,npc/instances/EndlessTower.txt:435,direct-spawn
MVP,1038,OSIRIS,Osiris,68,1175840,npc/instances/EndlessTower.txt:675,direct-spawn
MVP,1511,AMON_RA,Amon Ra,69,1009000,npc/instances/EndlessTower.txt:704,direct-spawn
MVP,1159,PHREEONI,Phreeoni,71,300000,npc/instances/EndlessTower.txt:491,direct-spawn
MVP,1389,DRACULA,Dracula,75,350000,npc/re/instances/CentralLaboratory.txt:498,implemented-variable
MVP,1046,DOPPELGANGER,Doppelganger,77,380000,npc/instances/EndlessTower.txt:769,direct-spawn
MVP,1059,MISTRESS,Mistress,78,378000,npc/instances/EndlessTower.txt:463,direct-spawn
MVP,1150,MOONLIGHT,Moonlight Flower,79,324000,npc/instances/EndlessTower.txt:552,direct-spawn
MVP,1688,LADY_TANEE,Lady Tanee,80,360000,npc/re/instances/CentralLaboratory.txt:502,implemented-variable
MVP,1039,BAPHOMET,Baphomet,81,668000,npc/instances/EndlessTower.txt:870,direct-spawn
MVP,1980,KUBLIN,Kublin,85,633600,npc/events/gdevent_aru.txt:36,direct-spawn
MVP,1157,PHARAOH,Pharaoh,85,900000,npc/instances/EndlessTower.txt:703,direct-spawn
MVP,1957,ENTWEIHEN,Entweihen Crothen,90,2400500,npc/instances/EndlessTower.txt:1840,direct-spawn
MVP,1112,DRAKE,Drake,91,804500,npc/instances/EndlessTower.txt:520,direct-spawn
MVP,1251,KNIGHT_OF_WINDSTORM,Stormy Knight,92,630500,npc/guild/agit_main.txt:255,direct-spawn
MVP,2068,BOITATA,Boitata,93,1283990,npc/re/instances/CentralLaboratory.txt:606,implemented-variable
MVP,2156,LEAK,Leak,94,1266000,npc/re/instances/CentralLaboratory.txt:608,implemented-variable
MVP,1373,LORD_OF_DEATH,Lord of the Dead,94,603883,npc/re/instances/CentralLaboratory.txt:607,implemented-variable
MVP,2194,MD_GIANT_OCTOPUS,Giant Octopus,95,500000,npc/re/instances/OctopusCave.txt:561,direct-spawn
MVP,1272,DARK_LORD,Dark Lord,96,1190900,npc/instances/EndlessTower.txt:871,direct-spawn
MVP,1885,GOPINICH,Gopinich,97,1120500,npc/re/mobs/dungeons/mosk_dun.txt:39,direct-spawn
MVP,1630,BACSOJIN_,White Lady,97,720500,npc/instances/EndlessTower.txt:585,direct-spawn
MVP,1252,GARM,Hatii,98,1275500,npc/guild/agit_main.txt:256,direct-spawn
MVP,1779,KTULLANUX,Ktullanux,98,2626000,npc/quests/quests_rachel.txt:3688,direct-spawn
MVP,1766,EM_ANGELING,Angeling,99,128430,npc/other/poring_war.txt:1087,direct-spawn
MVP,1767,EM_DEVILING,Deviling,99,128430,npc/other/poring_war.txt:1156,direct-spawn
MVP,2442,B_SUPERNOVICE,King of the Alley,99,268800,npc/re/mobs/dungeons/teg_dun.txt:30,direct-spawn
MVP,1956,NAGHT_SIEGER,Naght Sieger,99,5000000,npc/instances/EndlessTower.txt:2109,direct-spawn
MVP,1708,THANATOS,Thanatos Phantom,99,1445660,npc/quests/thana_quest.txt:2224,direct-spawn
MVP,2441,B_NOVICE,The Last One,99,265203,npc/re/mobs/dungeons/teg_dun.txt:18,direct-spawn
MVP,2187,COELACANTH_N_A,Gloomy Coelacanth,100,2200000,npc/re/instances/MalangdoCulvert.txt:807,direct-spawn
MVP,1623,RSX_0806,RSX-0806,100,1001000,npc/re/instances/CentralLaboratory.txt:743,implemented-variable
MVP,1492,INCANTATION_SAMURAI,Samurai Specter,100,901000,npc/instances/EndlessTower.txt:644,direct-spawn
MVP,2188,COELACANTH_N_M,Weird Coelacanth,100,2200000,npc/re/instances/MalangdoCulvert.txt:801,direct-spawn
MVP,3426,MIN_EDDGA,Infinite Eddga,101,1850000,npc/re/instances/InfiniteSpace.txt:289,implemented-variable
MVP,3000,EP14_MORS_BOSSB,Morocc Necromancer,101,80000000,npc/re/instances/MorseCave.txt:974,direct-spawn
MVP,3427,MIN_OSIRIS,Infinite Osiris,103,2850000,npc/re/instances/InfiniteSpace.txt:339,implemented-variable
MVP,1418,DARK_SNAKE_LORD,Evil Snake Lord,105,1101000,npc/instances/EndlessTower.txt:733,direct-spawn
MVP,3428,MIN_PHREEONI,Infinite Phreeoni,105,4750000,npc/re/instances/InfiniteSpace.txt:389,implemented-variable
MVP,3429,MIN_ORK_HERO,Infinite Orc Hero,107,6650000,npc/re/instances/InfiniteSpace.txt:439,implemented-variable
MVP,3430,MIN_TAO_GUNKA,Infinite Tao Gunka,109,8550000,npc/re/instances/InfiniteSpace.txt:489,implemented-variable
MVP,3628,EP16_2_H_HUNTER_EV,Heart Hunter Ebel,110,2800000,npc/re/instances/HeartHunterWarBase.txt:1084,direct-spawn
MVP,1583,TAO_GUNKA,Tao Gunka,110,1252000,npc/re/other/adven_boards.txt:1453,direct-spawn
MVP,1312,TURTLE_GENERAL,Turtle General,110,1442000,npc/instances/EndlessTower.txt:616,direct-spawn
MVP,3633,EP16_2_VENOM_KIMERA,Venomous Chimera,110,2800000,npc/re/mobs/dungeons/slabw01.txt:13,direct-spawn
MVP,1785,ATROCE,Atroce,113,1502000,npc/instances/EndlessTower.txt:804,direct-spawn
MVP,3450,BIJOU,Bijou,115,10000000,npc/re/instances/RoomOfConsciousness.txt:470,direct-spawn
MVP,20346,MD_MIGUEL,Miguel,115,8600000,npc/re/instances/OsOccupation.txt:604,direct-spawn
MVP,2022,S_NYDHOG,Nidhoggur's Shadow,117,3452000,npc/instances/NydhoggsNest.txt:1869,direct-spawn
MVP,3758,ILL_MOONLIGHT,Angry Moonlight Flower,118,4287803,npc/re/mobs/dungeons/pay_dun.txt:191,direct-spawn
MVP,20340,MD_EL_A17T,EL1-A17T,118,16412000,npc/re/instances/CorOperation.txt:784,direct-spawn
MVP,3621,EP16_2_MM_CUTIE,Pet Child,120,3500000,npc/re/instances/WernerLaboratoryCentralRoom.txt:1082,direct-spawn
MVP,2202,KRAKEN,Kraken,124,5602800,npc/re/mobs/dungeons/iz_dun.txt:122,direct-spawn
MVP,1734,KIEL_,Kiel D-01,125,2502000,npc/re/instances/CentralLaboratory.txt:747,implemented-variable
MVP,1685,APOCALIPS_H,Vesper,128,3802000,npc/re/mobs/dungeons/juperos.txt:52,direct-spawn
MVP,3181,E1_FELOCK,Captain Ferlock,130,3000000,npc/re/instances/AirshipAssault.txt:1009,direct-spawn
MVP,3796,ILL_KTULLANUX,Awakened Ktullanux,135,13521442,npc/re/quests/quests_illusion_dungeons.txt:4870,direct-spawn
MVP,1719,DETALE,Detardeurus,135,6005000,npc/re/instances/CentralLaboratory.txt:748,implemented-variable
MVP,2131,LOST_DRAGON,Lost Dragon,135,608920,npc/re/instances/HazyForest.txt:522,direct-spawn
MVP,20620,MD_REDPEPPER,Red Pepper,135,9514800,npc/re/instances/HiddenGarden.txt:2103,direct-spawn
MVP,1871,FALLINGBISHOP,Falling Bishop,138,5655000,npc/instances/EndlessTower.txt:902,direct-spawn
MVP,20659,MD_PITAYA_BOSS,Pitaya Boss,138,7221377,npc/re/instances/LostFarm.txt:1388,direct-spawn
MVP,3757,ILL_DRACULA,Dracula of Rage,139,6909690,npc/re/quests/quests_illusion_dungeons.txt:3942,direct-spawn
MVP,1768,GLOOMUNDERNIGHT,Gloom Under Night,139,3005000,npc/re/instances/CentralLaboratory.txt:749,implemented-variable
MVP,20642,MD_SWEETY,Sweety,139,5011304,npc/re/instances/TwilightGarden.txt:704,direct-spawn
MVP,3073,GRAND_PERE,Awakened Ferre,140,19471800,npc/re/instances/NightmarishJitterbug.txt:4398,direct-spawn
