ItemID,AegisName,Name,Type,NativeSell,SpecialBasePrice,ForcedOverchargePercent,FinalUnitPayout
1001424,Hot_Water_Drop_Gem,Hot Water Droplet Gem,Etc,,50000,124,62000
1001425,Ice_Water_Drop_Gem,Cold Water Droplet Gem,Etc,,50000,124,62000
1001426,Dry_Wind_Leaf_Gem,Dry Wind Leaf Gem,Etc,,50000,124,62000
1001427,Storm_Wind_Leaf_Gem,Strong Wind Leaf Gem,Etc,,50000,124,62000
1001428,Red_Flame_Heart_Gem,Red Flame Heart Gem,Etc,,50000,124,62000
1001429,Blue_Flame_Heart_Gem,Blue Flame Heart Gem,Etc,,50000,124,62000
1001430,Firm_Land_Crystal,Firm Land Crystal,Etc,,50000,124,62000
1001431,Green_Land_Crystal,Green Land Crystal,Etc,,50000,124,62000
1001432,Contored_Spi_Wrath,Wrath of Polluted Spirit,Etc,,50000,124,62000
1001433,Contored_Agn_Wrath,Wrath of Polluted Agni,Etc,,50000,124,62000
1001434,Contored_Aqu_Wrath,Wrath of Polluted Aqua,Etc,,50000,124,62000
1001435,Contored_Ven_Wrath,Wrath of Polluted Ventus,Etc,,50000,124,62000
1001436,Contored_Ter_Wrath,Wrath of Polluted Tera,Etc,,50000,124,62000
25728,Shadowdecon_Ore,Shadowdecon Ore,Etc,,5000,124,6200
25729,Shadowdecon,Shadowdecon,Etc,,5000,124,6200
25730,Zelunium_Ore,Zelunium Ore,Etc,,5000,124,6200
25731,Zelunium,Zelunium,Etc,,5000,124,6200
