item_id,aegis_name,display_name,item_type,price,occurrences,reset_uses,normal_uses,perfect_uses,upgrade_uses,enchant_database_ids,target_item_count,source_file,shop_page
903,Reptile_Tongue,Reptile Tongue,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,9
906,Pointed_Scale,Pointed Scale,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,8
907,Resin,Resin,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,9
916,Feather_Of_Birds,Feather of Birds,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,3
918,Sticky_Webfoot,Sticky Webfoot,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,10
924,Powder_Of_Butterfly,Powder of Butterfly,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,8
925,Bill_Of_Birds,Bill of Birds,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,1
926,Scale_Of_Snakes,Snake Scale,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,9
929,Immortal_Heart,Immortal Heart,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,7
932,Skel_Bone,Skel-Bone,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,9
934,Mementos,Memento,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,8
937,Posionous_Canine,Venom Canine,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,11
939,Bee_Sting,Bee Sting,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,1
949,Feather,Feather,Etc,20000,2,0,0,2,0,31,26,db/re/item_db_etc.yml,3
950,Heart_Of_Mermaid,Heart of Mermaid,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,4
952,Cactus_Needle,Cactus Needle,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,2
953,Stone_Heart,Stone Heart,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,10
954,Shining_Scales,Shining Scale,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,9
963,Sharp_Scale,Sharp Scale,Etc,20000,2,0,0,2,0,31,26,db/re/item_db_etc.yml,9
1001,Sparkling_Dust,Star Dust,Etc,20000,2,0,0,2,0,31,26,db/re/item_db_etc.yml,10
1013,Colorful_Shell,Rainbow Shell,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,9
1017,Moustache_Of_Mole,Mole Whiskers,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,8
1018,Nail_Of_Mole,Mole Claw,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,8
1021,Dokkaebi_Horn,Dokebi Horn,Etc,20000,2,0,0,2,0,31,26,db/re/item_db_etc.yml,3
1027,Porcupine_Spike,Porcupine Quill,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,8
1028,Wild_Boar's_Mane,Mane,Etc,20000,2,0,0,2,0,31,26,db/re/item_db_etc.yml,8
1033,Root_Of_Maneater,Maneater Root,Etc,20000,1,0,0,1,0,31,26,db/re/item_db_etc.yml,8
